1270445606490771464,#Uyghur #UyghurHolocaust #uyghurpulse #Uyghurlivesmatters #uygur #Uighur #Dogutuerkistandazuluemvar #DoğuTuerkistanYalnızDeğildir #doğutürkistan #uygurlarabayramyok #uyghurgenocide #EastTurkistan #China_is_terrorist #ChinaVirus #Cami BÖLE İYİ Mİ? https://t.co/FieNPa1VCA,Uyghur UyghurHolocaust uyghurpulse Uyghurlivesmatters uygur Uighur Dogutuerkistandazuluemvar DoğuTuerkistanYalnızDeğildir doğutürkistan uygurlarabayramyok uyghurgenocide EastTurkistan China_is_terrorist ChinaVirus Cami,tr,Tue Jun 09 20:00:10 +0000 2020,120179981,tatarislamtürkü,,,,başkent
1270262008298913794,#CCP_is_terrorist #RacismInChina #CCPChina #ConcentrationCamps #Xinjiang #Uyghurs #UyghurHolocaust #ChinaMustFall #Chinazi #ChinaVirus #StandwithHK #Chinavirus #MuslimHolocaust #EastTurkestan #StandWithHongKong #HKpolice #HKPoliceTerrorists #HKPoliceBrutality #HongKongProtests https://t.co/0v35usH4cj,CCP_is_terrorist RacismInChina CCPChina ConcentrationCamps Xinjiang Uyghurs UyghurHolocaust ChinaMustFall Chinazi ChinaVirus StandwithHK Chinavirus MuslimHolocaust EastTurkestan StandWithHongKong HKpolice HKPoliceTerrorists HKPoliceBrutality HongKongProtests,und,Tue Jun 09 07:50:37 +0000 2020,3286577887,Humanity_Matters,,,,تايوان
1270263169987076097,"#CoronaVirus
#CarrieLam
#ChinaCoronaVirus
#Corona
#WuhanCoronavirus
#coronaviruschina
#virus
#WuhanOutbreak 
#WuhanPneumonia 
#武汉市 #武汉起义 #武汉肺炎 #武汉加油 #汉口河滩
#Wuhan #NakuLa #Doklam  #CoronaVirusOutbreak   #LiWenliang #outbreak #COVID19 #CCP #ChinaVirus
#usa #Hindu",CoronaVirus CarrieLam ChinaCoronaVirus Corona WuhanCoronavirus coronaviruschina virus WuhanOutbreak WuhanPneumonia 武汉市 武汉起义 武汉肺炎 武汉加油 汉口河滩 Wuhan NakuLa Doklam CoronaVirusOutbreak LiWenliang outbreak COVID19 CCP ChinaVirus usa Hindu,und,Tue Jun 09 07:55:14 +0000 2020,1257405990,Zia Ul Haq,,,,"Gujranwala, Pakistan"
1270264106159763456,"@WHO (Yicai Global) June 4 -- Prices of Chinese face mask fabric and production equipment have plummeted due to excess supply after hordes of new manufacturers rushed to the cause during the worst days of China’s coronavirus.
This speak your retaionship with CCP. ##ChinaLiedPeopleDied",ChinaLiedPeopleDied,en,Tue Jun 09 07:58:57 +0000 2020,910957491919261696,Leslie,,,,Sydney
1270188970572419073,WORLD HOAX ORGANIZATION! #scamdemic #ChineseVirus #WHOLiedPeopleDied #ChinaLiedPeopleDied https://t.co/vnpEBAIwbt,scamdemic ChineseVirus WHOLiedPeopleDied ChinaLiedPeopleDied,en,Tue Jun 09 03:00:24 +0000 2020,92339923,Mario,,,,SP - Brasil
1270189288966311941,"RT @gbroh10: FORMER MI6 SPY CHIEF: CORONAVIRUS FROM CHINESE LAB, TRUMPS ‘HARD LINE’ APPROACH IS ‘RIGHT’ @nataliegwinters

#ChinaLiedPeopleD…",,en,Tue Jun 09 03:01:40 +0000 2020,2981776113,Robert Combs,,,,"Kentucky, USA"
1270189432792969217,"#ChinaLiedPeopleDied 
BBC News - Coronavirus: Risk higher for pregnant BAME women https://t.co/AZXRjtIEVl",ChinaLiedPeopleDied,en,Tue Jun 09 03:02:14 +0000 2020,1343382872,Anand K.Vajapeyam,,,,India
1270189948985982981,RT @SolomonYue: That's why #China NPC wants to install #CCPVirus spyware in Hong Kong 27 years early.,China CCPVirus,en,Tue Jun 09 03:04:17 +0000 2020,999938217892691969,ManSuenNuiSun🇭🇰,,,,"Portland, OR"
1270189956258906114,"@seriousfunnyguy and now , we have to think twice before stepping out of our house . 🙄

#ChinaLiedPeopleDied #ChinaVirus",ChinaLiedPeopleDied ChinaVirus,en,Tue Jun 09 03:04:19 +0000 2020,2189532103,Jai HIND,,,,INDIA
1270190004548046848,Now you tell us?!?! #CCPVirus https://t.co/aEyhkD178G,CCPVirus,en,Tue Jun 09 03:04:30 +0000 2020,25511878,Mary Smelser,-96.67276679999999,33.112316250000006,"Allen, TX, United States","Dallas, TX and Prague, OK"
1270190040237215745,"RT @GuoSupporters: 参议员玛莎·布莱克本：
中国共产党很可能从(去年)十月初就知道了冠状病毒的事。
 
但是 #中共 #CCP 一直等到12月31日才说出来。  
#中共国撒谎人民死亡
#ChinaLiedPeopleDied

【转abc新闻网：卫星数据显示…",中共 CCP 中共国撒谎人民死亡 ChinaLiedPeopleDied,zh,Tue Jun 09 03:04:39 +0000 2020,988773104229892097,ZHU ZHONGZHE,,,,"Edogawa-ku, Tokyo"
1270190106331303943,"@jairbolsonaro E vários usando máscaras com cheiro de baba, rsrsrs... Daqui a pouco esses comunas da oms irão dizer que o #Chinavirus, na verdade, nunca existiu.",Chinavirus,pt,Tue Jun 09 03:04:54 +0000 2020,364351255,ULYSSES CALMON,,,,SÃO PAULO/BRASIL
1270190112408731651,"RT @NahBabyNah: It should say #CCPVirus hoax

Trump to restart MAGA rallies this month despite coronavirus https://t.co/4jJrwqJ9Fc via @pol…",CCPVirus,en,Tue Jun 09 03:04:56 +0000 2020,4922868578,Lynda ⭐️⭐️⭐️(Parler: @LyndaAtchison),,,,everywhere
1270190195703513090,"RT @gbroh10: FORMER MI6 SPY CHIEF: CORONAVIRUS FROM CHINESE LAB, TRUMPS ‘HARD LINE’ APPROACH IS ‘RIGHT’ @nataliegwinters

#ChinaLiedPeopleD…",,en,Tue Jun 09 03:05:16 +0000 2020,158544247,LeAnn Kirrmann,,,,Grand Ledge 
1270190335113809920,"8385 new petient found in last 24 hours... 266 peoples lost their life.. India's death Toll crosses 7473..India is on 6th position in the world.
#coronavirus #coronaindia #CoronaUpdatesInIndia #coronavirus #mumbaicorona #Mumbai https://t.co/chsM5MRh9v",coronavirus coronaindia CoronaUpdatesInIndia coronavirus mumbaicorona Mumbai,en,Tue Jun 09 03:05:49 +0000 2020,2177065389,Amol_the_incredible_man,,,,"Mumbai, India"
1270190667633815553,"RT @naopata: #ANTIFA の背後に中共ありとバレちゃったねww
中国人は今どんな気持ち？

#AntifaTerrorist #CCP #CCP_is_terrorist #ChinaVirus #China_is_terrorist #天安門事件 #六四天安門…",ANTIFA AntifaTerrorist CCP CCP_is_terrorist ChinaVirus China_is_terrorist 天安門事件 六四天安門,ja,Tue Jun 09 03:07:08 +0000 2020,74306746,D. Sapphire,,,,スイス
1270190770478292999,"For us English-unit people, this about 3.281 ft.
Which is less than 6 feet.
Masks still needed at protests to see extent of people that still believe anything they are told.

#protests2020
#COVID19
#ChineseVirus19
#CCPVirus https://t.co/KnMeew9l7g",protests2020 COVID19 ChineseVirus19 CCPVirus,en,Tue Jun 09 03:07:33 +0000 2020,826627669240508417,Redacted,,,,People's Republic of Twitter
1270190816858984449,"Just like in #China, #racism is widespread, but difference is in #America they've the right to protest it &amp; make the practice illegal, while the Communist #Chinese tyrants abuse, torture &amp; murder the poor indigenous #Uyghurs with total impunity.

#BoycottChina
#Islam #Muslims https://t.co/xix55rcVkb",China racism America Chinese Uyghurs BoycottChina Islam Muslims,en,Tue Jun 09 03:07:44 +0000 2020,767618337354416128,أستاذ إبراهيم الغاميدله,,,,"London, England"
1270192252640518145,"RT @GuoSupporters: 参议员玛莎·布莱克本：
中国共产党很可能从(去年)十月初就知道了冠状病毒的事。
 
但是 #中共 #CCP 一直等到12月31日才说出来。  
#中共国撒谎人民死亡
#ChinaLiedPeopleDied

【转abc新闻网：卫星数据显示…",中共 CCP 中共国撒谎人民死亡 ChinaLiedPeopleDied,zh,Tue Jun 09 03:13:26 +0000 2020,2188630783,日月合明,,,,USA
1270192409599774722,"RT @NahBabyNah: It should say #CCPVirus hoax

Trump to restart MAGA rallies this month despite coronavirus https://t.co/4jJrwqJ9Fc via @pol…",CCPVirus,en,Tue Jun 09 03:14:04 +0000 2020,3301818217,🌈😻HUNTRESS😺🇺🇸🇩🇪,,,,USA 
1270193796668485632,"RT @gbroh10: FORMER MI6 SPY CHIEF: CORONAVIRUS FROM CHINESE LAB, TRUMPS ‘HARD LINE’ APPROACH IS ‘RIGHT’ @nataliegwinters

#ChinaLiedPeopleD…",,en,Tue Jun 09 03:19:34 +0000 2020,910003499546566658,NOQ Report,,,,"Laguna Niguel, CA"
1270194905403572225,RT @PeterNavarro45: China virus hits the two key pillars of American cities -- high rise building density and mass transit.  #ChinaLiedPeop…,,en,Tue Jun 09 03:23:59 +0000 2020,93071370,"Anders Corr, Ph.D.",,,,NY - CA
1270195020314800128,RT @PeterNavarro45: China virus hits the two key pillars of American cities -- high rise building density and mass transit.  #ChinaLiedPeop…,,en,Tue Jun 09 03:24:26 +0000 2020,1170179836251267072,Anons Synonymous🇺🇸,,,,RT's not endorsements. 
1270195734265171968,"In a biological warfare due to #CCPVirus created Covid-19 pandemic crisis,If we can bend rules to donate HCQ tablets to the world&amp;when world include India as D10 -a new world order, why We can't bend the diplomatic bureaucracy rules to carry out strike against China &amp; Pakistan?",CCPVirus,en,Tue Jun 09 03:27:16 +0000 2020,866204162,Dr Amritendu Saha 🇮🇳,,,,India
1270196446973718528,RT @PeterNavarro45: China virus hits the two key pillars of American cities -- high rise building density and mass transit.  #ChinaLiedPeop…,,en,Tue Jun 09 03:30:06 +0000 2020,1227273940302610432,CherylM,,,,United States
1270196583829626881,RT @PeterNavarro45: China virus hits the two key pillars of American cities -- high rise building density and mass transit.  #ChinaLiedPeop…,,en,Tue Jun 09 03:30:39 +0000 2020,1109065277810098176,🇺🇸Just another Deplorable🇺🇸,,,,Liberal State of Colorado 
1270196812952059905,"RT @NahBabyNah: It should say #CCPVirus hoax

Trump to restart MAGA rallies this month despite coronavirus https://t.co/4jJrwqJ9Fc via @pol…",CCPVirus,en,Tue Jun 09 03:31:33 +0000 2020,614943183,Joel🇺🇸KAG2020🇺🇸,,,,"Detroit, MI"
1270196999049097216,"@thebradfordfile @SpinePainBegone Hey let's not call them rallies..

We're going to gather together &amp; protest while peacefully assembling in a allotted space...😁

Don't give us that #CCPVirus talking point or SOCIAL DISTANCING crap either...😠

I smell VICTORY...

#KAG2020 #WWG1WGA",CCPVirus KAG2020 WWG1WGA,en,Tue Jun 09 03:32:18 +0000 2020,953848667009617921,Kevin I Brewster Sr,,,,"Texas, USA"
1270197206671216640,"@rapplerdotcom #ChinaLiedPeopleDied 
#ChinaLiedPeopleDied 
#ChinaVirus",ChinaLiedPeopleDied ChinaLiedPeopleDied ChinaVirus,und,Tue Jun 09 03:33:07 +0000 2020,723333172423852032,ShotGun Daddy,,,,Manila
1270197328775806976,RT @PeterNavarro45: China virus hits the two key pillars of American cities -- high rise building density and mass transit.  #ChinaLiedPeop…,,en,Tue Jun 09 03:33:36 +0000 2020,884809392033378304,⭐️🐴Lone Ranger🐴⭐️,,,,United States
1270197651259219970,"#CCPVirus 
European leaders move to ban foreign takeovers amid coronavirus crisis. New laws in UK and Sweden aimed at stopping sensitive technology from falling into hands of China 
.https://t.co/oQbDAkTzyd",CCPVirus,en,Tue Jun 09 03:34:53 +0000 2020,748316575934124037,Calicem_Cobaltvm_Veritas 🇮🇪 🇹🇼 🇺🇸 🇯🇵 🇦🇷,,,,Traduzcan mis tweets lectores.
1270197660444753921,"US-China virus row flares with senator's comments: The row between the US and China over the Coronavirus outbreak has flared again with a US senator accusing Beijing of trying to block the development of a vaccine in the West.
https://t.co/3beQUT8FVe

I bet the #CCPVirus...",CCPVirus,en,Tue Jun 09 03:34:56 +0000 2020,748316575934124037,Calicem_Cobaltvm_Veritas 🇮🇪 🇹🇼 🇺🇸 🇯🇵 🇦🇷,,,,Traduzcan mis tweets lectores.
1270197848936603649,"@XHNews #china killed so many people from Oman.
#BoycottChineseProducts
#BoycottChina
#BoycottMadeInChina
#ChinaVirus
#WuhanVirus",china BoycottChineseProducts BoycottChina BoycottMadeInChina ChinaVirus WuhanVirus,en,Tue Jun 09 03:35:40 +0000 2020,174105874,Indian🇮🇳,,,,India
1270197886861467649,RT @SolomonYue: That's why #China NPC wants to install #CCPVirus spyware in Hong Kong 27 years early.,China CCPVirus,en,Tue Jun 09 03:35:50 +0000 2020,1126713200894889985,UntilTheEnd🇭🇰🇺🇸,,,,Hong Kong
1270198113425412098,@RTarabic #CCP_is_terrorist #RacismInChina #CCPChina #ConcentrationCamps #Xinjiang #Uyghurs #UyghurHolocaust #ChinaMustFall #Chinazi #ChinaVirus #StandwithHK #Chinavirus #MuslimHolocaust #EastTurkestan #StandWithHongKong #HKpolice #HKPoliceTerrorists #HKPoliceBrutality #HongKongProtests,CCP_is_terrorist RacismInChina CCPChina ConcentrationCamps Xinjiang Uyghurs UyghurHolocaust ChinaMustFall Chinazi ChinaVirus StandwithHK Chinavirus MuslimHolocaust EastTurkestan StandWithHongKong HKpolice HKPoliceTerrorists HKPoliceBrutality HongKongProtests,und,Tue Jun 09 03:36:44 +0000 2020,3286577887,Humanity_Matters,,,,تايوان
1270198235529744384,RT @PeterNavarro45: China virus hits the two key pillars of American cities -- high rise building density and mass transit.  #ChinaLiedPeop…,,en,Tue Jun 09 03:37:13 +0000 2020,722561814106648577,John Smith 🇺🇲🇺🇸,,,,Burbank Glendale Pasadena 
1270198631119949824,"@ChinaDaily #ChinaLiedPeopleDied #वामपंथि ☭ #China
#ChinaVirus #ChineseVirus #LeftVulture #चीनीवायरस #वामपंथीगिद्ध  #BoycottChineseProduct  #BoycottChineseProducts https://t.co/5xLvLbwX7j",ChinaLiedPeopleDied वामपंथि China ChinaVirus ChineseVirus LeftVulture चीनीवायरस वामपंथीगिद्ध BoycottChineseProduct BoycottChineseProducts,und,Tue Jun 09 03:38:47 +0000 2020,127774379,G .T.RAO 🇮🇳,,,,India
1270198884170637312,"@ChinaDaily #ChinaLiedPeopleDied #वामपंथि ☭ #China
#ChinaVirus #ChineseVirus #LeftVulture #चीनीवायरस #वामपंथीगिद्ध  #BoycottChineseProduct  #BoycottChineseProducts 
https://t.co/hk3EKC2w9M",ChinaLiedPeopleDied वामपंथि China ChinaVirus ChineseVirus LeftVulture चीनीवायरस वामपंथीगिद्ध BoycottChineseProduct BoycottChineseProducts,und,Tue Jun 09 03:39:47 +0000 2020,127774379,G .T.RAO 🇮🇳,,,,India
1270199308688723970,"""Chinese telecom firms urge FCC not to revoke ability to operate in U.S."" - https://t.co/iY8QCiQwin It seems like by the day things are getting worse with #China Even #Japan wants to remove operations from #ChinaLiedAndPeopleDied #ChinaVirus is the elephant in the room",China Japan ChinaLiedAndPeopleDied ChinaVirus,en,Tue Jun 09 03:41:29 +0000 2020,3284980086,Trevor Hron,,,,"Higgins, Tx"
1270199868880048131,"RT @NahBabyNah: It should say #CCPVirus hoax

Trump to restart MAGA rallies this month despite coronavirus https://t.co/4jJrwqJ9Fc via @pol…",CCPVirus,en,Tue Jun 09 03:43:42 +0000 2020,158076899,Maleo,,,,United States
1270200480988139520,RT @PeterNavarro45: China virus hits the two key pillars of American cities -- high rise building density and mass transit.  #ChinaLiedPeop…,,en,Tue Jun 09 03:46:08 +0000 2020,732376738156552193,Blue,,,,AZ
1270201195756429313,"RT @gbroh10: FORMER MI6 SPY CHIEF: CORONAVIRUS FROM CHINESE LAB, TRUMPS ‘HARD LINE’ APPROACH IS ‘RIGHT’ @nataliegwinters

#ChinaLiedPeopleD…",,en,Tue Jun 09 03:48:58 +0000 2020,799620913893441537,Bertrand Thompson,,,,"Texas, USA"
1270201247325274113,#ChinaLiedPeopleDied —-&gt; Satellite images of Wuhan may suggest coronavirus was spreading as early as August - CNN https://t.co/21KKHkJx7i,ChinaLiedPeopleDied,en,Tue Jun 09 03:49:11 +0000 2020,165506153,Arvind Gupta,,,,New Delhi
1270201472328896512,A statement made four months late. Something that would probably have been a lot helpful few months back. #ChinaLiedPeopleDied https://t.co/M96ipCDwhI,ChinaLiedPeopleDied,en,Tue Jun 09 03:50:04 +0000 2020,1612388714,Priyanka #StayHomeSaveLives,,,,India
1270201488980062208,"RT @NahBabyNah: It should say #CCPVirus hoax

Trump to restart MAGA rallies this month despite coronavirus https://t.co/4jJrwqJ9Fc via @pol…",CCPVirus,en,Tue Jun 09 03:50:08 +0000 2020,1891098919,cinderella🦋🇺🇸🦋graham,,,,"California, USA "
1270201809592709121,"RT @GuoSupporters: 参议员玛莎·布莱克本：
中国共产党很可能从(去年)十月初就知道了冠状病毒的事。
 
但是 #中共 #CCP 一直等到12月31日才说出来。  
#中共国撒谎人民死亡
#ChinaLiedPeopleDied

【转abc新闻网：卫星数据显示…",中共 CCP 中共国撒谎人民死亡 ChinaLiedPeopleDied,zh,Tue Jun 09 03:51:25 +0000 2020,1169279705297481728,5DemandNot1Less 😷,,,,Hong Kong
1270201817633222657,RT @AblizKasim: #CCP_is_terrorist killer goverment  kill milyon Uighur 5milyon camp lager jail  This is Right ..America died one black man…,CCP_is_terrorist,en,Tue Jun 09 03:51:27 +0000 2020,3320762414,🇺🇸 GoToHellCommunists🇦🇨,,,,"Auckland, New Zealand"
1270201888068104192,"@Q_Montre Flash report #USA is looking like a hot mess right now. Like #kardashians meet #JerseyShore

Oh yeh there is also a #supercrisis, #ChinaLiedAndPeopleDied #coronavirus , #riots2020 and And....

#liberal folks washing feet as penance https://t.co/kWwfP61Wmt",USA kardashians JerseyShore supercrisis ChinaLiedAndPeopleDied coronavirus riots2020 liberal,en,Tue Jun 09 03:51:43 +0000 2020,49092712,D,,,,"San Jose, CA"
1270201922562162694,#CCP_is_terrorist #CCPChinaJudgmentDay #CCPLiedPeopleDied https://t.co/0VnSX4F9jQ,CCP_is_terrorist CCPChinaJudgmentDay CCPLiedPeopleDied,und,Tue Jun 09 03:51:52 +0000 2020,1127366614532247552,Michael_R.M,,,,"Mesa, AZ"
1270201969131442177,"RT @GuoSupporters: 参议员玛莎·布莱克本：
中国共产党很可能从(去年)十月初就知道了冠状病毒的事。
 
但是 #中共 #CCP 一直等到12月31日才说出来。  
#中共国撒谎人民死亡
#ChinaLiedPeopleDied

【转abc新闻网：卫星数据显示…",中共 CCP 中共国撒谎人民死亡 ChinaLiedPeopleDied,zh,Tue Jun 09 03:52:03 +0000 2020,2654974766,M.I.T 小凱😏專屠CCP 山姆&水母,,,,滅中南海中央
1270202662655389698,"#MilkTeaAlliance
#BoycottChina https://t.co/eypVpSMF2e",MilkTeaAlliance BoycottChina,und,Tue Jun 09 03:54:48 +0000 2020,1067196222119628809,GoDownMoses,,,,Hong Kong
1270203307429003264,RT @buzzindelhi: #ChinaLiedPeopleDied —-&gt; Satellite images of Wuhan may suggest coronavirus was spreading as early as August - CNN https://…,ChinaLiedPeopleDied,en,Tue Jun 09 03:57:22 +0000 2020,77804343,Chandrashekhar,,,,Nagpur
1270203338601234433,RT @buzzindelhi: #ChinaLiedPeopleDied —-&gt; Satellite images of Wuhan may suggest coronavirus was spreading as early as August - CNN https://…,ChinaLiedPeopleDied,en,Tue Jun 09 03:57:29 +0000 2020,2428315687,Jitendra P Jagat,,,,Lucknow
1270203356749819905,"Covid19 care for older adults | Motivational video | बुजुर्गों को करोना ... https://t.co/KG7eoJuznb via @YouTubeIndia 

Must check this out #COVID19 #fightcorona #coronaindia #health #publichealth #who #fitness #SubscribeNow #motivation https://t.co/qAVnmvKuiZ",COVID19 fightcorona coronaindia health publichealth who fitness SubscribeNow motivation,und,Tue Jun 09 03:57:34 +0000 2020,1263821322812973060,Nitin Tanwar | S&C Coach,,,,"New Delhi, India"
1270203693141557249,"RT @NahBabyNah: It should say #CCPVirus hoax

Trump to restart MAGA rallies this month despite coronavirus https://t.co/4jJrwqJ9Fc via @pol…",CCPVirus,en,Tue Jun 09 03:58:54 +0000 2020,915231714724712448,SCOTT PATRIQT 🇺🇲🇺🇲🇺🇲⭐⭐⭐,,,, Mountains 
1270203833717854209,"RT @gbroh10: FORMER MI6 SPY CHIEF: CORONAVIRUS FROM CHINESE LAB, TRUMPS ‘HARD LINE’ APPROACH IS ‘RIGHT’ @nataliegwinters

#ChinaLiedPeopleD…",,en,Tue Jun 09 03:59:27 +0000 2020,573312796,🇺🇸Nick Fitz🇺🇸,,,,"New York, USA"
1270234567169830913,"RT @AsFairus: Kalo bisa memilih seharusnya covid #VirusChina menyerang sampe mati: PENISTA AGAMA,KORUPTOR,BANDARA NARKOBA,PENGHIANAT BANGSA…",VirusChina,in,Tue Jun 09 06:01:35 +0000 2020,770279867975729153,SosokBerprinsip,,,,Bumi Allah
1270234687789817856,RT @SolomonYue: That's why #China NPC wants to install #CCPVirus spyware in Hong Kong 27 years early. https://t.co/5zN24AUD3H,China CCPVirus,en,Tue Jun 09 06:02:04 +0000 2020,785818380657831936,Tomasz.Trapczyński,,,,"Marki, Polska"
1270237486619537410,"RT @GuoSupporters: 参议员玛莎·布莱克本：
中国共产党很可能从(去年)十月初就知道了冠状病毒的事。
 
但是 #中共 #CCP 一直等到12月31日才说出来。  
#中共国撒谎人民死亡
#ChinaLiedPeopleDied

【转abc新闻网：卫星数据显示…",中共 CCP 中共国撒谎人民死亡 ChinaLiedPeopleDied,zh,Tue Jun 09 06:13:11 +0000 2020,476019185,JK✊✊,,,,"Deutschlandsberg, Österreich"
1270237887137751040,@WIONews @SenRickScott @palkisu China is corrupted &amp; will steal ! I wish China to never succeed in Vaccine development #ChinaLiedAndPeopleDied #China_is_terrorist #ChinaVirus #Stopchina #destroychina ##Chinathemurderer,ChinaLiedAndPeopleDied China_is_terrorist ChinaVirus Stopchina destroychina Chinathemurderer,en,Tue Jun 09 06:14:46 +0000 2020,841241287965704193,Moushmi,,,,भारत
1270238345168334849,"Satellite data suggests #coronavirus may have hit #China earlier

#ChinaLiedPeopleDied 
https://t.co/nKCMgi6tz3",coronavirus China ChinaLiedPeopleDied,en,Tue Jun 09 06:16:36 +0000 2020,1095856302,Professor Alan B'Stard MP QC PhD,,,,Rising Star of the New Right
1270238457164677123,This is why an international investigation on the #wuhanvirus #COVID19 that still kills thousands worldwide and caused irreparable economic damages is a priority to better understand its lethality. @dorianmalovic @dktatlow https://t.co/16U8FR5Tux,wuhanvirus COVID19,en,Tue Jun 09 06:17:02 +0000 2020,340864828,Valerie Niquet,,,,Paris
1270238915274784768,"चीन में 2019 की गर्मियों में भी आया था कोरोना? वैज्ञानिकों ने दिए सबूत
#china
#coronavirus
#ChinaLiedAndPeopleDied
#ChinaLiedPeopleDied
#ChinaMustPay
#ChinaMustExplain
#China_is_terrorist https://t.co/RhOJGPnGpn",china coronavirus ChinaLiedAndPeopleDied ChinaLiedPeopleDied ChinaMustPay ChinaMustExplain China_is_terrorist,hi,Tue Jun 09 06:18:51 +0000 2020,777582460880031744,ए क. रा ष्ट्र वा दी. साकेत 5.3K+ #POK_हमारा_है 🚩✈,,,,"Berlin, Germany"
1270239116551229445,RT @VNiquet: This is why an international investigation on the #wuhanvirus #COVID19 that still kills thousands worldwide and caused irrepar…,wuhanvirus COVID19,en,Tue Jun 09 06:19:39 +0000 2020,293424177,Michel Filippi,,,,LYON France
1270240081501138945,"संक्रमण की चैन तोड़ने के लिए -सोशल बबल ' एक बेहतर उपाय https://t.co/ImtI9lyPkl 

#coronaupdate #coronaindia  #latestupdate",coronaupdate coronaindia latestupdate,hi,Tue Jun 09 06:23:30 +0000 2020,1269742226537615360,liveakhbar,,,,india
1270240202599149568,China ko pakistan ki nazar se dekhne ka waqt aa gaya hain. #AnyWhereButChina #coronavirus #PKMKB #CKMKB #BoycottChineseProducts #BoycottChineseApp #ChinaVirus #ChinaLiedPeopleDied #Ladakh #LadakhBorder,AnyWhereButChina coronavirus PKMKB CKMKB BoycottChineseProducts BoycottChineseApp ChinaVirus ChinaLiedPeopleDied Ladakh LadakhBorder,hi,Tue Jun 09 06:23:58 +0000 2020,924698235553198080,A P,,,,"गुजरात, भारत"
1270240429707935745,"RT @SaketJha231219: चीन में 2019 की गर्मियों में भी आया था कोरोना? वैज्ञानिकों ने दिए सबूत
#china
#coronavirus
#ChinaLiedAndPeopleDied
#Chi…",china coronavirus ChinaLiedAndPeopleDied,hi,Tue Jun 09 06:24:53 +0000 2020,1230912525971181568,रा ष्ट्र वा दी_साकेत 🇮🇳 #POK_हमारा_है 🚩🕉️✈️,,,,"Berlin, Germany"
1270241527571374082,"#HateChina  #BoycottChineseProduct #BoycottChina #BanTikTokInIndia #BoycottChineseApp  #coronaviruschina @XiJingpingReal 
China = CoronaVirus Country
https://t.co/XPMZurMXXp",HateChina BoycottChineseProduct BoycottChina BanTikTokInIndia BoycottChineseApp coronaviruschina,en,Tue Jun 09 06:29:14 +0000 2020,730942254,Onesh sharma,,,,New Delhi✈jodhpur✈Aligarh
1270242098298499073,@HSammodra @yueh0903 @ChinaDaily There is no doubt in this. The Communist government of China is very good at spreading the Wuhan virus all over the world. #ChinaLiedPeopleDied #WuhanVirus #BoycottChina #BlackLivesMatter #BoycottChineseProducts https://t.co/ExgeHZxTtT,ChinaLiedPeopleDied WuhanVirus BoycottChina BlackLivesMatter BoycottChineseProducts,en,Tue Jun 09 06:31:30 +0000 2020,3298431438,Sandeep Kumawat,,,,"Rajasthan, India"
1270242329828327424,#covid19 #coronavirus #2019_Novel_Coronavirus #2019_nCoV #Infectious #Diseases #virus #coronaindia #coronapunjab #mohali #india https://t.co/GAgR0SZgmc,covid19 coronavirus 2019_Novel_Coronavirus 2019_nCoV Infectious Diseases virus coronaindia coronapunjab mohali india,und,Tue Jun 09 06:32:26 +0000 2020,1207549848976670721,Campusdunia,,,,mohali 
1270242713695387650,#ChinaLiedPeopleDied https://t.co/ZCdAfNXZWB,ChinaLiedPeopleDied,und,Tue Jun 09 06:33:57 +0000 2020,1244124527409475586,Tight In Loose Off,,,,U.S.A
1270242903357419521,#CCP #chinazi very skilled in playing off enemies against each other: its how they defeated the #KMT after playing them off against WW2 Japanese invaders. #Xitler must be loving #democrats &amp; #BLM! ⁦@realDonaldTrump⁩  https://t.co/m3yG7cbxXB,CCP chinazi KMT Xitler democrats BLM,en,Tue Jun 09 06:34:42 +0000 2020,884809392033378304,⭐️🐴Lone Ranger🐴⭐️,,,,United States
1270243391318573056,"RT @danisjai: @SolomonYue #CCPVirus China spread the virus and fake news about the plague!!!!
#CCPChinaJudgmentDay is comming soon!!!!!!!
C…",CCPVirus CCPChinaJudgmentDay,en,Tue Jun 09 06:36:39 +0000 2020,1073411821,Jim99,,,,香港
1270243895964811266,"RT @GuoSupporters: 参议员玛莎·布莱克本：
中国共产党很可能从(去年)十月初就知道了冠状病毒的事。
 
但是 #中共 #CCP 一直等到12月31日才说出来。  
#中共国撒谎人民死亡
#ChinaLiedPeopleDied

【转abc新闻网：卫星数据显示…",中共 CCP 中共国撒谎人民死亡 ChinaLiedPeopleDied,zh,Tue Jun 09 06:38:39 +0000 2020,713032960560095232,文漢三 ✝️🛐📖🙏,,,,"Texas, USA"
1270243948926132225,RT @SolomonYue: That's why #China NPC wants to install #CCPVirus spyware in Hong Kong 27 years early.,China CCPVirus,en,Tue Jun 09 06:38:52 +0000 2020,1073411821,Jim99,,,,香港
1270244989180604417,"@ChinaDaily It's #WuhanVirus
#WuhanChinaVirus
#ChinaVirus
#ChinaCoronaVirus
#ChineseVirus
#China_is_terrorist",WuhanVirus WuhanChinaVirus ChinaVirus ChinaCoronaVirus ChineseVirus China_is_terrorist,und,Tue Jun 09 06:43:00 +0000 2020,174105874,Indian🇮🇳,,,,India
