1262129658931355653,"#CCPVirus #ChinaLiedPeopleDie #Coronakrise 
KPCh-Virus (SARS-CoV2) zeigt: Vertrauen in KP-China ist gefährlich. Verbindung minimieren!

https://t.co/XTJT2q76jv https://t.co/sc3k90Zgnu",CCPVirus ChinaLiedPeopleDie Coronakrise,de,Sun May 17 21:15:34 +0000 2020,3909867868,Erik Rusch,,,,Berlin
1261970988868055040,"@KindaNeven @SylviaPatcas @Origsmartassam #CCPVirus MODELLING WRONG BY 10X

#VICTORIANS put into #LOCKDOWN because of these ACADEMIC CLOWNS 

#springst 
https://t.co/42czvWBNTH https://t.co/KTQPriH6ZW",CCPVirus VICTORIANS LOCKDOWN springst,en,Sun May 17 10:45:04 +0000 2020,1142000704287989761,Australian,,,,"Victoria, Australia"
1261971076055105536,"@BreitbartLondon @wdamidoinhere That is good to know. #coronavirus #ChinaLiedAndPeopleDied

Please watch: China in Focus—Internal Documents Reveal China’s ‘State Secrets’

https://t.co/Bm22bMPXdq

Download The Epoch Times app to see our exclusive Coronavirus coverage and daily updates:https://t.co/WzyL482Uda",coronavirus ChinaLiedAndPeopleDied,en,Sun May 17 10:45:25 +0000 2020,1243468944293236742,Lucy Zhao,,,,"Sydney, Australia"
1261971192744947712,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 10:45:53 +0000 2020,715681775717060608,Karen,,,,"Lake View, NY"
1261971333052723201,"@Aguyyouknow2 @wdamidoinhere @HuXijin_GT Thanks for sharing. #coronavirus #ChinaLiedAndPeopleDied

Please watch: China in Focus—Internal Documents Reveal China’s ‘State Secrets’

https://t.co/Bm22bMPXdq

Download The Epoch Times app to see our exclusive Coronavirus coverage and daily updates:https://t.co/WzyL482Uda",coronavirus ChinaLiedAndPeopleDied,en,Sun May 17 10:46:26 +0000 2020,1243468944293236742,Lucy Zhao,,,,"Sydney, Australia"
1261971424442413058,"RT @abpmajhatv: कोरोनाचे नमूने नष्ट केल्याचं चीननं केलं मान्य!,अमेरिकेच्या दाव्यावर शिक्कामोर्तब
https://t.co/jSMGhg6Por #ChinaCoronaVirus…",ChinaCoronaVirus,mr,Sun May 17 10:46:48 +0000 2020,1201352462,Amol Arun More,,,,Mumbai
1261971533255204864,#ChinaLiedAndPeopleDied is responsible for unprecedented misery and deaths. Accountability is a must for a reasonable deterrence. @rock1964 @thinkergarg. https://t.co/8HuUGCF3Jx,ChinaLiedAndPeopleDied,en,Sun May 17 10:47:14 +0000 2020,76088793,Dr.Rajiv Mittal,,,,delhi
1261971854572609537,"@ARP2600l @SemperSububi @PhDanube @C4liCrypto 4.6million cases
318,000 deaths
🇮🇹 🇦🇺 🇬🇧 🇩🇪 economy

CCP restricts travel in Hubei and keeps international travel open knowing R0 of super spreaders 🤡 didn’t do that #ChinaLiedPeopleDied #COVID19",ChinaLiedPeopleDied COVID19,en,Sun May 17 10:48:31 +0000 2020,30102927,Tony Chuck 🇺🇸,,,,USA
1261972510486085633,"Investigate @WHO and #chinazi

#Chinamustfall 
#ChinaLiedPeopleDied https://t.co/v6lnwDgJSp",chinazi Chinamustfall ChinaLiedPeopleDied,en,Sun May 17 10:51:07 +0000 2020,2773907172,Ahoge's Avalon オトナの理想郷,,,,Hong Kong
1261972522540519424,"@9NewsAUS @CUhlmann Thanks for sharing. #coronavirus #ChinaLiedAndPeopleDied

Please watch: China in Focus—Internal Documents Reveal China’s ‘State Secrets’

https://t.co/Bm22bMPXdq

Download The Epoch Times app to see our exclusive Coronavirus coverage and daily updates:https://t.co/WzyL482Uda",coronavirus ChinaLiedAndPeopleDied,en,Sun May 17 10:51:10 +0000 2020,1243468944293236742,Lucy Zhao,,,,"Sydney, Australia"
1261972540353736704,"Thank you... @POTUS !!!

BOOM TRUMP NAILS IT.. THEY ARE FUDGING THE FIGURES!!! WWG1WGA https://t.co/Xl0VLt5R1a 

#DirtyStats
#FactsMatter

A nice reminder from 1 month ago above footage to where the #wuhanvirus (aka #covd19) is at to date. 

cc. @VP @VPPressSec @Scavino45",DirtyStats FactsMatter wuhanvirus covd19,en,Sun May 17 10:51:14 +0000 2020,786867383323373568,FQM,,,,Australia
1261972561333805062,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 10:51:19 +0000 2020,281273320,SavetheChildren,,,,"Miami, FL"
1261973125257822208,"@Newsweek Thanks for sharing. #coronavirus #ChinaLiedAndPeopleDied

Please watch: China in Focus—Internal Documents Reveal China’s ‘State Secrets’

https://t.co/Bm22bMPXdq

Download The Epoch Times app to see our exclusive Coronavirus coverage and daily updates:https://t.co/WzyL482Uda",coronavirus ChinaLiedAndPeopleDied,en,Sun May 17 10:53:34 +0000 2020,1243468944293236742,Lucy Zhao,,,,"Sydney, Australia"
1261973292937707521,"@RuDauntless Thanks for sharing. #coronavirus #ChinaLiedAndPeopleDied

Please watch: China in Focus—Internal Documents Reveal China’s ‘State Secrets’

https://t.co/Bm22bMPXdq

Download The Epoch Times app to see our exclusive Coronavirus coverage and daily updates:https://t.co/WzyL482Uda",coronavirus ChinaLiedAndPeopleDied,en,Sun May 17 10:54:14 +0000 2020,1243468944293236742,Lucy Zhao,,,,"Sydney, Australia"
1261973552426672128,"@Raziya11013067 Thanks for sharing. #coronavirus #ChinaLiedAndPeopleDied

Please watch: China in Focus—Internal Documents Reveal China’s ‘State Secrets’

https://t.co/Bm22bMPXdq

Download The Epoch Times app to see our exclusive Coronavirus coverage and daily updates:https://t.co/WzyL482Uda",coronavirus ChinaLiedAndPeopleDied,en,Sun May 17 10:55:15 +0000 2020,1243468944293236742,Lucy Zhao,,,,"Sydney, Australia"
1261973692126355456,"@Purity42513414 @wdamidoinhere @Daily_Express #coronavirus #ChinaLiedAndPeopleDied

Please watch: China in Focus—Internal Documents Reveal China’s ‘State Secrets’

https://t.co/Bm22bMPXdq

Download The Epoch Times app to see our exclusive Coronavirus coverage and daily updates:https://t.co/WzyL482Uda https://t.co/IOa000McEy",coronavirus ChinaLiedAndPeopleDied,en,Sun May 17 10:55:49 +0000 2020,1243468944293236742,Lucy Zhao,,,,"Sydney, Australia"
1261974122503892992,"@Its_Neil_ Thanks for sharing. #coronavirus #ChinaLiedAndPeopleDied

Please watch: China in Focus—Internal Documents Reveal China’s ‘State Secrets’

https://t.co/Bm22bMPXdq

Download The Epoch Times app to see our exclusive Coronavirus coverage and daily updates:https://t.co/WzyL482Uda https://t.co/P802z1A9Ra",coronavirus ChinaLiedAndPeopleDied,en,Sun May 17 10:57:31 +0000 2020,1243468944293236742,Lucy Zhao,,,,"Sydney, Australia"
1261974238820364288,"@SkyNewsAust @mattjcan @ScottMorrisonMP #coronavirus #ChinaLiedAndPeopleDied

Please watch: China in Focus—Internal Documents Reveal China’s ‘State Secrets’

https://t.co/Bm22bMPXdq

Download The Epoch Times app to see our exclusive Coronavirus coverage and daily updates:https://t.co/WzyL482Uda https://t.co/iE1sufjQeU",coronavirus ChinaLiedAndPeopleDied,en,Sun May 17 10:57:59 +0000 2020,1243468944293236742,Lucy Zhao,,,,"Sydney, Australia"
1261974342197563392,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 10:58:24 +0000 2020,999005122842759171,Rider On The Storm....,,,,"Wisconsin, USA"
1261974436346916866,"@ThisInspiresUs But one single person from China, Xi, has ruined the lives and livelihoods of billions of people.

#Chinavirus, Wuhanvirus or Xi Virus.",Chinavirus,en,Sun May 17 10:58:46 +0000 2020,1159680290194804737,Panutty,,,,Parasala
1261974565816881153,"China Threatened Members Of Congress And U.S. Elections   https://t.co/ZsVFhPEihu

#ChinaLiedPeopleDied #ChinaVirus #Communist #China #MakeChinaPay #coronavirus #ChinaVirus #WuhanVirus #Communismsucks #maga #KAG2020 #election2020 #2020Elections https://t.co/QhriaRfmqz",ChinaLiedPeopleDied ChinaVirus Communist China MakeChinaPay coronavirus ChinaVirus WuhanVirus Communismsucks maga KAG2020 election2020 2020Elections,en,Sun May 17 10:59:17 +0000 2020,16491845,Jeff Dunetz,,,,New York
1261974801893056513,"@iDivineArjuna #coronavirus #ChinaLiedAndPeopleDied

Please watch: China in Focus—Internal Documents Reveal China’s ‘State Secrets’

https://t.co/Bm22bMPXdq

Download The Epoch Times app to see our exclusive Coronavirus coverage and daily updates:https://t.co/WzyL482Uda https://t.co/Z6Zh1H9IBY",coronavirus ChinaLiedAndPeopleDied,en,Sun May 17 11:00:13 +0000 2020,1243468944293236742,Lucy Zhao,,,,"Sydney, Australia"
1261974834113679361,#ChinaLiedPeopleDied #ChinaVirus #WuhanCoronavirus #CCPChina #USA https://t.co/idrX8sbTjk,ChinaLiedPeopleDied ChinaVirus WuhanCoronavirus CCPChina USA,und,Sun May 17 11:00:21 +0000 2020,1195585485072031745,Meow Meow,,,,Hong Kong
1261974889520484352,"@TheRealAR08 @wdamidoinhere @picachuppp @BBCBreaking #coronavirus #ChinaLiedAndPeopleDied

Please watch: China in Focus—Internal Documents Reveal China’s ‘State Secrets’

https://t.co/Bm22bMPXdq

Download The Epoch Times app to see our exclusive Coronavirus coverage and daily updates:https://t.co/WzyL482Uda",coronavirus ChinaLiedAndPeopleDied,en,Sun May 17 11:00:34 +0000 2020,1243468944293236742,Lucy Zhao,,,,"Sydney, Australia"
1261975082068512768,"Over 21 million of my fellow Floridians are feeling the effects of the #Chinavirus #wuhanvirus 

Lives have been disrupted, forever altered &amp; lost because of COVID19.  

Two long months of mandatory shutdowns,… https://t.co/RGKQHMSyov",Chinavirus wuhanvirus,en,Sun May 17 11:01:20 +0000 2020,2776932682,iCANtvnetwork 🇺🇸☀️📡🌴🎬💡🎥,-80.05,26.71,,"PalmBeach, Florida 🎥📡🎤🎬📲"
1261975404031758336,"#CCPVirus #Response
Wilsonville, Or
Apr 5 2020

140 Oregon Ventilators are ready for shipment to New York by the Oregon Army National Guard.

BLOG https://t.co/MAkQVONNoQ

qt-cvresponse-230 #borderObserver https://t.co/PrNB7qXMQd",CCPVirus Response borderObserver,en,Sun May 17 11:02:37 +0000 2020,865823924805914624,CoVid19 automatic statistics,,,,United States
1261975822551916544,"Repost @icantvnetworkFL Over 21 million of my fellow #Floridians are feeling the effects of the #Chinavirus #wuhanvirus 
Lives have been disrupted, forever altered &amp; lost because of COVID19. 
Two long months of… https://t.co/tuWQSdqqeE",Floridians Chinavirus wuhanvirus,en,Sun May 17 11:04:17 +0000 2020,243684822,Candace Rojas,-80.05,26.71,,"Palm Beach, FL 🇺🇸🌴☀️✝️🙏🎥"
1261976006577074177,"RT @yidwithlid: China Threatened Members Of Congress And U.S. Elections   https://t.co/ZsVFhPEihu

#ChinaLiedPeopleDied #ChinaVirus #Commun…",ChinaLiedPeopleDied ChinaVirus,en,Sun May 17 11:05:01 +0000 2020,3392824421,Mark H,,,,NY
1261976369707147267,"@9NewsAUS #coronavirus #ChinaLiedAndPeopleDied

Please watch: China in Focus—Internal Documents Reveal China’s ‘State Secrets’

https://t.co/Bm22bMPXdq

Download The Epoch Times app to see our exclusive Coronavirus coverage and daily updates:https://t.co/WzyL482Uda https://t.co/QPizNu8c7D",coronavirus ChinaLiedAndPeopleDied,en,Sun May 17 11:06:27 +0000 2020,1243468944293236742,Lucy Zhao,,,,"Sydney, Australia"
1261978576297041922,🎬🎞《危难时刻》——劫难中的一线曙光 #中共病毒 #武汉肺炎 #CCPVirus #WuhanVirus https://t.co/ot2WYYyTtI,中共病毒 武汉肺炎 CCPVirus WuhanVirus,zh,Sun May 17 11:15:13 +0000 2020,96698645,如语,,,,中国
1261980317805457410,"Good morning @cspanwj'ers🌅
All 🇺🇲Citizens should praise President @realDonaldTrump &amp; @VP for their outstanding response to #WuhanVirus subsequent to Corrupt #Communist #ChinaLiedPeopleDied
Have a nice day🌞
@PressSec @lissasno1fan @klhparker @FreeLunchUSA @club_ed8 @Dirty_Water https://t.co/66rtg7Fd6f",WuhanVirus Communist ChinaLiedPeopleDied,en,Sun May 17 11:22:08 +0000 2020,27385174,Kenn Weeks,,,,Events in 2020 & Beyond!
1261980382385393666,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 11:22:24 +0000 2020,1146402690492239872,RILEY🐸💜🇺🇸⭐⭐⭐Text TRUMP TO 88022,,,,somewhere 
1261980622626664448,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 11:23:21 +0000 2020,1016336613402660865,Tim Johnson,,,,"Burnsville, NC"
1261980701878075392,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 11:23:40 +0000 2020,1166844461994971137,Janice Bowman***=stars,,,,Pennsylvania 
1261980731502292993,#ChinaLiedAndPeopleDied #CCPVirus @ChinaUncensored @ChinaInFocusNTD @OANN @TheTrueChannel #NHK @NHKWORLD_News @japantimes #QArmyJapanFlynn #firefaucihireshiva @va_shiva #WWG1WGA_WORLDWIDE @okabaeri9111 @TokyoJapanF1 @Lai__chan @MARILOVEUSA #QANONWORLDWIDE #ChinaMustPay https://t.co/zgLphjKsvv,ChinaLiedAndPeopleDied CCPVirus NHK QArmyJapanFlynn firefaucihireshiva WWG1WGA_WORLDWIDE QANONWORLDWIDE ChinaMustPay,und,Sun May 17 11:23:47 +0000 2020,23834472,ochachacha2,,,,"Mission Viejo, CA"
1261980768261279745,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 11:23:56 +0000 2020,14357013,WingmanReq 🇺🇸 ⭐️⭐️⭐️ 🐸 #KAG #Trump2020 TX Red,,,,Qmap.pub
1261981043399094274,US report finds China 'politicised' COVID-19 response https://t.co/V2TrInXgSr #coronavirus #COVID__19 #COVID19 #Covid_19 #CCPChina #CCP_is_terrorist #CCPVirus #SARSCoV2,coronavirus COVID__19 COVID19 Covid_19 CCPChina CCP_is_terrorist CCPVirus SARSCoV2,en,Sun May 17 11:25:01 +0000 2020,2585988889,Deplorable GTW,,,,"Washington, USA"
1261981304649850885,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 11:26:04 +0000 2020,1151695182624108545,The Rev ⭐⭐⭐Q✝️🏴󠁧󠁢󠁥󠁮󠁧󠁿🇬🇧🇺🇸🏁,,,,London England Florida USA
1261981766807674886,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 11:27:54 +0000 2020,469284342,Zenon,,,,"New York, USA"
1261981786223136768,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 11:27:58 +0000 2020,26539922,Niki ♥️'s Trump,,,,USA 🇺🇸
1261982459576455169,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 11:30:39 +0000 2020,158064102,Christina Pimental,,,,"Vacaville, CA "
1261982773683933188,"China admits to destroying coronavirus samples, insists it was for safety.
#ChinaLiedPeopleDied, #ChinaMustFall,
#ChinaVirus
 https://t.co/KJ4r0EE6YO via @nypost",ChinaLiedPeopleDied ChinaMustFall ChinaVirus,en,Sun May 17 11:31:54 +0000 2020,15363308,Shawn Branch,,,,"Mesquite, Texas"
1261982773688090624,"China's latest bullying bids to squelch its coronavirus critics.
#ChinaLiedPeopleDied, #ChinaMustFall,
#ChinaVirus
 https://t.co/kdcdz0INMr via @nypost",ChinaLiedPeopleDied ChinaMustFall ChinaVirus,en,Sun May 17 11:31:54 +0000 2020,15363308,Shawn Branch,,,,"Mesquite, Texas"
1261984295268372480,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 11:37:57 +0000 2020,1094643543501664256,Kika ⭐️ ⭐️ ⭐️,,,,Texas
1261984750371250176,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 11:39:45 +0000 2020,52141764,Barb💋LockednLoaded⭐️⭐️⭐️💫💫💫,,,,"Warrenton, VA"
1261984814627840001,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 11:40:01 +0000 2020,932496695077699584,Black Swan Chronicles,,,,somewhere earth
1261984934505451525,RT @Alam_Chaudry: There are no parallel in history for what #China had done to America &amp; the 🌎 before and after #CCPVirus. This unprecedent…,China CCPVirus,en,Sun May 17 11:40:29 +0000 2020,811768906301968384,🇺🇸Captain🇺🇾Liberty🇫🇷,,,,SOUTHERN CONE
1261985082648248320,#ChinaLiedPeopleDied https://t.co/N2HNCe1kMp,ChinaLiedPeopleDied,und,Sun May 17 11:41:04 +0000 2020,23600006,David Geveke,,,,"Pennsylvania, USA"
1261985477168635904,#ChinaLiedAndPeopleDied #ChineseVirus https://t.co/i08L8ehq7h,ChinaLiedAndPeopleDied ChineseVirus,und,Sun May 17 11:42:38 +0000 2020,1154896294604943360,Woodstockdon,,,,"Georgia, USA"
1261985706953437184,"#ThanksObama #GatesVirus 
#Plandemic #Event201 
#COVID19 #CCPVirus 
#VAXXED #NoVax
#ID2020 #NWO #WHO 
#UNAgenda21 #eugenics https://t.co/njiJqpl7Pp",ThanksObama GatesVirus Plandemic Event201 COVID19 CCPVirus VAXXED NoVax ID2020 NWO WHO UNAgenda21 eugenics,und,Sun May 17 11:43:33 +0000 2020,1197974257285783553,Dani Williams ⭐⭐⭐,,,,"Monrovia, Ca"
1261986441460154368,RT @jenniferatntd: EU to demand an independent investigation on the origin of #CCPVirus #COVID2019 #Coronavirus at next week's WHO Assembly…,CCPVirus COVID2019 Coronavirus,en,Sun May 17 11:46:28 +0000 2020,30784640,Otto Fad,,,,"Florida, USA"
1261986904708448256,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 11:48:19 +0000 2020,2924804214,Gateway 🌟🌟🌟,,,,"Macomb, MI"
1261986921011720192,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 11:48:23 +0000 2020,1909154336,Buddy925,,,,"Texas, USA"
1261987407336861696,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 11:50:19 +0000 2020,1181152995918172162,@TellTheTruth,,,,Here
1261987502468075521,"@Debbie56111656 @GOPLeader Because at the time coronavirus didn't seem like a big deal, but #ChinaLiedAndPeopleDied",ChinaLiedAndPeopleDied,en,Sun May 17 11:50:41 +0000 2020,171919007,Veteran Market Timer,,,,Chicago burbs
1261988926706851845,"Heat, sun [UV light &amp; Vitamin D], fresh air, exercise, salt water....
All help kill the #wuhanflu 
Dict Dem Govs ALSO don't want you using HCQ!!! https://t.co/fWuMEWZy55",wuhanflu,en,Sun May 17 11:56:21 +0000 2020,3014425353,Bandit,,,,"North Carolina, USA"
1261989829136404480,#FULLsupport #ChinaLiedAndPeopleDied #ChinaLiedPeopleDied #COVID19 https://t.co/wy5WeF7zBZ,FULLsupport ChinaLiedAndPeopleDied ChinaLiedPeopleDied COVID19,und,Sun May 17 11:59:56 +0000 2020,354814618,MARTYN AWAYANG NAMORONG,,,,Papua New Guinea
1261990172180099072,"You could play Where’s Waldo in Yoyogi park today. #tokyolockdown? Yep, it’s not happening. #StayAtHome #coronavirusjapan #COVID19 #Japan https://t.co/neQX3HzCN3",tokyolockdown StayAtHome coronavirusjapan COVID19 Japan,en,Sun May 17 12:01:18 +0000 2020,22775024,Ryan Hart,139.69567090272906,35.67043660939139,"代々木公園 (Yoyogi Park), Japan",Tokyo | Sydney | SF
1261990234100830209,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 12:01:33 +0000 2020,1037053636818481153,Kay 🇺🇸🙏🏻,,,,United States
1261990313981173762,RT @ochachachaTea2: #ChinaLiedAndPeopleDied #CCPVirus @ChinaUncensored @ChinaInFocusNTD @OANN @TheTrueChannel #NHK @NHKWORLD_News @japantim…,ChinaLiedAndPeopleDied CCPVirus NHK,und,Sun May 17 12:01:52 +0000 2020,825881070763536384,ST🍀 #KeepGoing @地球共和国UAS,,,,Japan
1261990333660962816,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 12:01:56 +0000 2020,902040342,naomi,,,,"Ohio, USA"
1261990508538273792,"#CCPVirus #Response
Wilsonville, OR
5 Apr 2020

140 Oregon Ventilators are being prepared for shipment to New York by the Oregon Army National Guard.

BLOG https://t.co/MAkQVONNoQ

qt-cvresponse-231 #borderObserver https://t.co/gu4faTXfTl",CCPVirus Response borderObserver,en,Sun May 17 12:02:38 +0000 2020,865823924805914624,CoVid19 automatic statistics,,,,United States
1261990790760366080,"Increase your brand awareness with awareness-raising videos.
Visit our website https://t.co/MxBcQZ3s2f
Call +91 7506203777

#coronavirus #covid19 #lockdown #India #stayhome #coronasymptoms #coronapreventions #coronaindia #coronaimoact #thenewnormal https://t.co/eSEUDRpOvJ",coronavirus covid19 lockdown India stayhome coronasymptoms coronapreventions coronaindia coronaimoact thenewnormal,en,Sun May 17 12:03:45 +0000 2020,1153990240081600512,NS Ventures,,,,"E 302,1st Floor, VISTA Tower"
1261991283746373633,"George Carlin - Germs and Immune System - https://t.co/qVGU72s64v 

#COVID19 #CoronaVirus #CCPVirus #WuhanVirus #ChineseVirus #ChinaLiedPeopleDied",COVID19 CoronaVirus CCPVirus WuhanVirus ChineseVirus ChinaLiedPeopleDied,en,Sun May 17 12:05:43 +0000 2020,92672440,Black0u7_9/11,,,,New Jersey
1261991672713555968,"👍👍👍

I'm all for cutting links with #China because of security risks with #5G, their appalling animal abuse record and, of course, because of #Coronavirus.

#Beijing wants to become the world's super power.  

NO!

#ChinaLiedAndPeopleDied https://t.co/LBpAWgV48O https://t.co/MRokPZXvQc",China 5G Coronavirus Beijing ChinaLiedAndPeopleDied,en,Sun May 17 12:07:16 +0000 2020,339660880,Suze,,,,"Worcestershire, England"
1261992076872347649,"RT @LucyZha94759559: @osbnnnnnn @wdamidoinhere @BreitbartLondon Thanks for sharing. #coronavirus #ChinaLiedAndPeopleDied

Please watch: Chi…",coronavirus ChinaLiedAndPeopleDied,en,Sun May 17 12:08:52 +0000 2020,1195212598947414016,雷之呼吸⚡️😷,,,,Hong Kong
1261993093345284101,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 12:12:54 +0000 2020,1103512897504849922,theoriginaljay,,,,"Ohio, USA"
1261993367208177665,"@globaltimesnews #ChinaLiedAndPeopleDied 

#londonlockdown 

#WuhanVirus 
#wuhanlab 

#ChinaMustPay 

#ChinaVirus",ChinaLiedAndPeopleDied londonlockdown WuhanVirus wuhanlab ChinaMustPay ChinaVirus,und,Sun May 17 12:14:00 +0000 2020,1251477645294002176,Indian from devastated banks of Ancient SINDHU,,,,SINDHU RIVER ANCIENTS INDIA
1261993703809462273,RT @KRubacek: I had a very insightful discussion with David Matas about #HumanRights work during #Covid19 and #ChinaLiedAndPeopleDied his i…,HumanRights Covid19 ChinaLiedAndPeopleDied,en,Sun May 17 12:15:20 +0000 2020,1056930780495122432,TheIRCC,,,,"Prague, Czech Republic"
1261993778484822016,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 12:15:38 +0000 2020,1051205640620781569,melody-mcgowan,,,,east by God Texas
1261995188777615362,很可能是死于 #中共病毒 #武汉肺炎 #CCPVirus #WuhanVirus https://t.co/7sLaCYHc1W,中共病毒 武汉肺炎 CCPVirus WuhanVirus,zh,Sun May 17 12:21:14 +0000 2020,96698645,如语,,,,中国
1261995197308772352,"RT @EngKelvin3: JUDGE JEANINE: I wanna know what we're gonna do to  China

PETER NAVARRO: Stay tuned
#Chinavirus 
#Covid19
#Coronavirus
#Lo…",Chinavirus Covid19 Coronavirus,en,Sun May 17 12:21:16 +0000 2020,1247821438540812288,Sea bed,,,,Nigeria🇳🇬 
1261995919970652161,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 12:24:08 +0000 2020,4422054923,Janeen L.,,,,"North Carolina, USA"
1261995931882446851,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 12:24:11 +0000 2020,2654356639,janedoe,,,,Ottawa Canada
1261996291166478336,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 12:25:37 +0000 2020,2974665983,❌Cpl Agarn🔇,,,,🇺🇸 𝕌𝕊𝔸 🇺🇸
1261996550873657345,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 12:26:39 +0000 2020,1109050976403636224,J.Faith,,,,"Ohio, USA"
1261996551674757120,#ChinaLiedAndPeopleDied https://t.co/mqU4VDopst,ChinaLiedAndPeopleDied,und,Sun May 17 12:26:39 +0000 2020,26774751,Tim W. Jones,,,,Missouri
1261996889496530944,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 12:27:59 +0000 2020,47696490,Manuel Campos,,,,Birmingham
1261997122397732865,"RT @KarluskaP: China threatens to sanction Texas Rep. Dan Crenshaw, other GOP lawmakers, over coronavirus criticism- #ChinaLiedPeopleDied…",ChinaLiedPeopleDied,en,Sun May 17 12:28:55 +0000 2020,784096593913851905,xHarleyGirlx,,,,United States
